LocationDesc,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification1,income_strat,income_ordinal
Missouri,25.2,20.1,31.2,476,"Less than $15,000","Less than $15,000",1
Arkansas,21.9,17.5,27.1,529,"Less than $15,000","Less than $15,000",1
Nevada,34.9,27.5,43.1,287,"$25,000 - $34,999","$25,000 - $34,999",3
Montana,39.4,33.4,45.8,468,"$25,000 - $34,999","$25,000 - $34,999",3
Minnesota,38.3,36.8,39.8,5726,"$75,000 or greater","$75,000 or greater",6
Rhode Island,34.8,29.9,40.1,661,"$15,000 - $24,999","$15,000 - $24,999",2
North Dakota,38.1,33.5,42.9,826,"$50,000 - $74,999","$50,000 - $74,999",5
Iowa,35.1,32.3,38,1396,"$50,000 - $74,999","$50,000 - $74,999",5
Missouri,29.5,24.3,35.3,546,"$25,000 - $34,999","$25,000 - $34,999",3
Alabama,35.9,31.4,40.7,688,"$35,000 - $49,999","$35,000 - $49,999",4
Oregon,33.2,28.7,38,645,"$35,000 - $49,999","$35,000 - $49,999",4
South Carolina,30.5,27.4,33.9,1561,"$15,000 - $24,999","$15,000 - $24,999",2
Tennessee,30,25.4,35,772,"$15,000 - $24,999","$15,000 - $24,999",2
Wisconsin,38.2,34.9,41.4,1374,"$75,000 or greater","$75,000 or greater",6
South Dakota,26.5,20.1,34.1,529,"Less than $15,000","Less than $15,000",1
Indiana,35.2,32.3,38.2,1644,"$75,000 or greater","$75,000 or greater",6
Oklahoma,36.7,32.1,41.6,651,"$35,000 - $49,999","$35,000 - $49,999",4
West Virginia,27.8,23.2,33,504,"Less than $15,000","Less than $15,000",1
Kansas,37.6,35.5,39.7,2964,"$75,000 or greater","$75,000 or greater",6
Maryland,29.5,26,33.2,1559,"$15,000 - $24,999","$15,000 - $24,999",2
Connecticut,38.4,36.3,40.4,3953,"$75,000 or greater","$75,000 or greater",6
Minnesota,32.1,29.4,34.8,1681,"$15,000 - $24,999","$15,000 - $24,999",2
Iowa,26.8,22.5,31.6,484,"Less than $15,000","Less than $15,000",1
Massachusetts,31,25.9,36.7,493,"$15,000 - $24,999","$15,000 - $24,999",2
Virgin Islands,NA,NA,NA,NA,"$25,000 - $34,999","$25,000 - $34,999",3
Kentucky,32.5,28,37.4,980,"$35,000 - $49,999","$35,000 - $49,999",4
Vermont,36.9,33.8,40.1,1715,"$75,000 or greater","$75,000 or greater",6
Hawaii,32.7,27.9,37.9,654,"$25,000 - $34,999","$25,000 - $34,999",3
Virgin Islands,NA,NA,NA,NA,"$75,000 or greater","$75,000 or greater",6
Wyoming,31.4,26,37.3,407,"$25,000 - $34,999","$25,000 - $34,999",3
Indiana,31.6,27.1,36.6,686,"$25,000 - $34,999","$25,000 - $34,999",3
Kansas,35,31.1,39.2,945,"$25,000 - $34,999","$25,000 - $34,999",3
Arizona,33.4,28.8,38.3,1141,"$15,000 - $24,999","$15,000 - $24,999",2
Nebraska,38.3,36,40.5,3699,"$75,000 or greater","$75,000 or greater",6
Hawaii,37,34.6,39.5,2522,"$75,000 or greater","$75,000 or greater",6
North Carolina,36.3,33,39.8,1061,"$75,000 or greater","$75,000 or greater",6
New Mexico,35.4,30.2,40.9,616,"$25,000 - $34,999","$25,000 - $34,999",3
New Jersey,36.3,31.9,40.9,1110,"$75,000 or greater","$75,000 or greater",6
South Dakota,31.2,25.2,38,738,"$15,000 - $24,999","$15,000 - $24,999",2
Ohio,33.2,29.2,37.4,1236,"$25,000 - $34,999","$25,000 - $34,999",3
Texas,34.6,29.2,40.4,1415,"$15,000 - $24,999","$15,000 - $24,999",2
Minnesota,39.8,37.5,42.2,2452,"$50,000 - $74,999","$50,000 - $74,999",5
West Virginia,35.9,32.9,39,1323,"$75,000 or greater","$75,000 or greater",6
Virgin Islands,29.1,20.1,40.1,153,"$35,000 - $49,999","$35,000 - $49,999",4
Alabama,34.3,29.8,39.1,758,"$50,000 - $74,999","$50,000 - $74,999",5
Colorado,33.2,29.6,37,892,"$15,000 - $24,999","$15,000 - $24,999",2
Pennsylvania,33.9,29.6,38.6,799,"$50,000 - $74,999","$50,000 - $74,999",5
Wisconsin,33.8,28.7,39.3,594,"$15,000 - $24,999","$15,000 - $24,999",2
Idaho,34,27.5,41.2,364,"$25,000 - $34,999","$25,000 - $34,999",3
Virginia,36.3,31.4,41.5,701,"$25,000 - $34,999","$25,000 - $34,999",3
Georgia,31.7,27.5,36.3,702,"Less than $15,000","Less than $15,000",1
Virginia,39.2,36.9,41.5,3476,"$75,000 or greater","$75,000 or greater",6
New Hampshire,23.3,17.6,30.2,293,"Less than $15,000","Less than $15,000",1
Arizona,37.1,33.8,40.6,1818,"$75,000 or greater","$75,000 or greater",6
Utah,30.5,26.9,34.4,897,"$15,000 - $24,999","$15,000 - $24,999",2
California,35.7,32.4,39.1,1223,"$15,000 - $24,999","$15,000 - $24,999",2
Alaska,30.3,21.3,41.1,176,"Less than $15,000","Less than $15,000",1
New York,33.1,29.5,36.9,2551,"Less than $15,000","Less than $15,000",1
Maine,36.2,32.4,40.2,1527,"$50,000 - $74,999","$50,000 - $74,999",5
Mississippi,29.4,25.7,33.3,1099,"$15,000 - $24,999","$15,000 - $24,999",2
Illinois,35.5,31.2,40,701,"$50,000 - $74,999","$50,000 - $74,999",5
Ohio,37.4,35,39.9,2955,"$75,000 or greater","$75,000 or greater",6
Nebraska,30.1,27.1,33.2,1911,"$15,000 - $24,999","$15,000 - $24,999",2
Missouri,30,25.5,34.9,827,"$15,000 - $24,999","$15,000 - $24,999",2
North Dakota,30.5,22.9,39.3,288,"Less than $15,000","Less than $15,000",1
Delaware,34.6,28.6,41,378,"$25,000 - $34,999","$25,000 - $34,999",3
New Hampshire,40.6,35.8,45.5,762,"$50,000 - $74,999","$50,000 - $74,999",5
Iowa,29.3,26.2,32.5,1056,"$15,000 - $24,999","$15,000 - $24,999",2
Michigan,38.4,36.2,40.7,2918,"$75,000 or greater","$75,000 or greater",6
New York,35.1,32.4,37.8,4191,"$50,000 - $74,999","$50,000 - $74,999",5
Arkansas,39.2,34.7,43.8,900,"$75,000 or greater","$75,000 or greater",6
Nevada,40.9,33.4,48.8,347,"$35,000 - $49,999","$35,000 - $49,999",4
Maine,29.7,24.8,35.1,878,"Less than $15,000","Less than $15,000",1
Louisiana,29.5,23.9,35.7,403,"$25,000 - $34,999","$25,000 - $34,999",3
Montana,31.9,26.1,38.3,402,"Less than $15,000","Less than $15,000",1
North Carolina,27.3,21.9,33.6,354,"Less than $15,000","Less than $15,000",1
Rhode Island,38.4,31.8,45.4,388,"$25,000 - $34,999","$25,000 - $34,999",3
Connecticut,37.9,33.8,42.2,963,"$15,000 - $24,999","$15,000 - $24,999",2
West Virginia,33.3,28.8,38.1,551,"$50,000 - $74,999","$50,000 - $74,999",5
Alaska,33.5,27.2,40.5,362,"$50,000 - $74,999","$50,000 - $74,999",5
Virgin Islands,NA,NA,NA,NA,"$50,000 - $74,999","$50,000 - $74,999",5
Maryland,33.5,28.5,38.9,1036,"$25,000 - $34,999","$25,000 - $34,999",3
Oregon,39,33.7,44.6,494,"$25,000 - $34,999","$25,000 - $34,999",3
Maryland,38,36.3,39.8,6354,"$75,000 or greater","$75,000 or greater",6
North Dakota,37.1,34.2,40.1,1795,"$75,000 or greater","$75,000 or greater",6
Iowa,37.2,35.1,39.2,2658,"$75,000 or greater","$75,000 or greater",6
Wyoming,39.3,34.1,44.8,552,"$35,000 - $49,999","$35,000 - $49,999",4
New Mexico,40.5,35.2,46,717,"$35,000 - $49,999","$35,000 - $49,999",4
Virgin Islands,NA,NA,NA,NA,"$35,000 - $49,999","$35,000 - $49,999",4
Rhode Island,39.5,36.2,42.8,1708,"$75,000 or greater","$75,000 or greater",6
Vermont,23.2,18.1,29.2,393,"Less than $15,000","Less than $15,000",1
Arkansas,33.9,29.3,38.8,903,"$15,000 - $24,999","$15,000 - $24,999",2
Kentucky,35.6,31,40.5,1107,"$50,000 - $74,999","$50,000 - $74,999",5
Michigan,28.5,25.3,31.9,1197,"$15,000 - $24,999","$15,000 - $24,999",2
Oregon,36.3,33.6,39,1631,"$75,000 or greater","$75,000 or greater",6
Tennessee,33.9,28.3,40.1,446,"$25,000 - $34,999","$25,000 - $34,999",3
Alaska,32.9,24.3,42.7,198,"$25,000 - $34,999","$25,000 - $34,999",3
Minnesota,33.2,30.2,36.5,1305,"$25,000 - $34,999","$25,000 - $34,999",3
Colorado,28,23.2,33.3,405,"Less than $15,000","Less than $15,000",1
Texas,36.1,29.4,43.4,1039,"$35,000 - $49,999","$35,000 - $49,999",4
North Carolina,31,25.4,37.1,402,"$25,000 - $34,999","$25,000 - $34,999",3
Indiana,27.8,22.7,33.7,478,"Less than $15,000","Less than $15,000",1
Florida,34.4,29.9,39.1,1729,"$35,000 - $49,999","$35,000 - $49,999",4
Connecticut,40.1,38,42.2,3916,"$75,000 or greater","$75,000 or greater",6
Delaware,33.6,26.2,41.9,327,"Less than $15,000","Less than $15,000",1
South Carolina,27.5,23.3,32.1,924,"Less than $15,000","Less than $15,000",1
Oklahoma,31.4,25.7,37.8,381,"Less than $15,000","Less than $15,000",1
West Virginia,35.6,31.9,39.6,800,"$35,000 - $49,999","$35,000 - $49,999",4
Oklahoma,34.2,29.5,39.3,647,"$25,000 - $34,999","$25,000 - $34,999",3
Georgia,37.1,33.1,41.2,935,"$35,000 - $49,999","$35,000 - $49,999",4
Pennsylvania,35.2,29.1,41.9,394,"Less than $15,000","Less than $15,000",1
Utah,37.2,35.3,39.2,3541,"$75,000 or greater","$75,000 or greater",6
Washington,35.8,32.4,39.3,1445,"$35,000 - $49,999","$35,000 - $49,999",4
Arizona,28.6,22.4,35.7,667,"Less than $15,000","Less than $15,000",1
New Jersey,34.9,28.2,42.3,352,"$50,000 - $74,999","$50,000 - $74,999",5
Montana,40.2,36.6,43.9,1112,"$75,000 or greater","$75,000 or greater",6
Massachusetts,33.4,26.8,40.7,328,"Less than $15,000","Less than $15,000",1
Kansas,29.7,26.4,33.2,1213,"$15,000 - $24,999","$15,000 - $24,999",2
Ohio,30.3,27.1,33.7,1965,"$15,000 - $24,999","$15,000 - $24,999",2
New York,36.4,33.1,39.8,3444,"$35,000 - $49,999","$35,000 - $49,999",4
West Virginia,29,25.4,33,758,"Less than $15,000","Less than $15,000",1
Colorado,40.4,37.1,43.9,1149,"$50,000 - $74,999","$50,000 - $74,999",5
Missouri,36.8,33.5,40.2,1363,"$75,000 or greater","$75,000 or greater",6
Wisconsin,37.4,33.2,41.9,783,"$50,000 - $74,999","$50,000 - $74,999",5
Virginia,37.1,33.3,41.1,1258,"$50,000 - $74,999","$50,000 - $74,999",5
Idaho,41.3,35.8,47,487,"$35,000 - $49,999","$35,000 - $49,999",4
Oklahoma,38.1,33.8,42.6,768,"$50,000 - $74,999","$50,000 - $74,999",5
North Carolina,34.2,29.7,39,641,"$15,000 - $24,999","$15,000 - $24,999",2
Delaware,36.4,33.1,39.7,1370,"$75,000 or greater","$75,000 or greater",6
Indiana,26.2,22.7,30,960,"$15,000 - $24,999","$15,000 - $24,999",2
Florida,34.1,30.3,38,1752,"$50,000 - $74,999","$50,000 - $74,999",5
Texas,34.8,27.3,43.2,873,"Less than $15,000","Less than $15,000",1
California,37.7,33.4,42.3,907,"$25,000 - $34,999","$25,000 - $34,999",3
Pennsylvania,34.8,30.3,39.6,646,"$35,000 - $49,999","$35,000 - $49,999",4
Delaware,37.4,32.3,42.8,556,"$15,000 - $24,999","$15,000 - $24,999",2
Pennsylvania,34.6,30.8,38.5,962,"$50,000 - $74,999","$50,000 - $74,999",5
Michigan,37.5,34.3,40.9,1356,"$50,000 - $74,999","$50,000 - $74,999",5
Utah,29.7,24.5,35.4,419,"Less than $15,000","Less than $15,000",1
Arizona,36.7,32.2,41.4,1070,"$50,000 - $74,999","$50,000 - $74,999",5
Rhode Island,39.8,34.6,45.3,661,"$50,000 - $74,999","$50,000 - $74,999",5
Nebraska,36.3,33.4,39.4,2183,"$50,000 - $74,999","$50,000 - $74,999",5
Maine,36.8,33,40.9,1376,"$35,000 - $49,999","$35,000 - $49,999",4
Hawaii,35.2,31.2,39.4,1054,"$50,000 - $74,999","$50,000 - $74,999",5
Massachusetts,38.9,34.3,43.6,751,"$50,000 - $74,999","$50,000 - $74,999",5
New Hampshire,37.2,31.9,42.8,607,"$35,000 - $49,999","$35,000 - $49,999",4
West Virginia,35.3,30.7,40.1,636,"$35,000 - $49,999","$35,000 - $49,999",4
Illinois,36.1,31.4,41,561,"$35,000 - $49,999","$35,000 - $49,999",4
Mississippi,29.6,25.2,34.4,749,"Less than $15,000","Less than $15,000",1
Maryland,39.9,36.6,43.4,2136,"$50,000 - $74,999","$50,000 - $74,999",5
South Dakota,41.2,37.1,45.4,1637,"$75,000 or greater","$75,000 or greater",6
North Dakota,32.7,27.2,38.8,596,"$15,000 - $24,999","$15,000 - $24,999",2
North Dakota,36.4,30,43.4,438,"$25,000 - $34,999","$25,000 - $34,999",3
Virginia,36.8,31.9,41.9,766,"$25,000 - $34,999","$25,000 - $34,999",3
New Hampshire,36.6,33.6,39.7,1786,"$75,000 or greater","$75,000 or greater",6
Idaho,31.7,24.1,40.5,261,"Less than $15,000","Less than $15,000",1
Virgin Islands,NA,NA,NA,NA,"Less than $15,000","Less than $15,000",1
Delaware,32.6,28,37.7,688,"$15,000 - $24,999","$15,000 - $24,999",2
South Dakota,40.3,34.7,46,992,"$50,000 - $74,999","$50,000 - $74,999",5
Wyoming,34.2,29.9,38.7,684,"$50,000 - $74,999","$50,000 - $74,999",5
Montana,35.9,30.9,41.2,689,"$15,000 - $24,999","$15,000 - $24,999",2
Alaska,27.9,20.8,36.2,261,"$35,000 - $49,999","$35,000 - $49,999",4
New Mexico,31.1,27,35.6,806,"Less than $15,000","Less than $15,000",1
New York,36.2,34.5,37.8,9206,"$75,000 or greater","$75,000 or greater",6
Maryland,34.7,31,38.5,1512,"$35,000 - $49,999","$35,000 - $49,999",4
Nevada,24.8,18,33.3,196,"Less than $15,000","Less than $15,000",1
Montana,33.1,28.7,37.8,717,"$50,000 - $74,999","$50,000 - $74,999",5
Maine,32.4,28.7,36.4,1363,"$15,000 - $24,999","$15,000 - $24,999",2
Florida,39.1,36,42.2,2993,"$75,000 or greater","$75,000 or greater",6
Minnesota,35.6,32.9,38.3,1858,"$35,000 - $49,999","$35,000 - $49,999",4
New Jersey,28.1,18.3,40.5,140,"Less than $15,000","Less than $15,000",1
West Virginia,35.4,31.8,39.1,930,"$75,000 or greater","$75,000 or greater",6
Mississippi,39.3,34,44.9,552,"$50,000 - $74,999","$50,000 - $74,999",5
Missouri,35.3,30.6,40.3,792,"$50,000 - $74,999","$50,000 - $74,999",5
Idaho,41.5,36.2,47.1,554,"$50,000 - $74,999","$50,000 - $74,999",5
Wyoming,27.7,20.9,35.7,228,"Less than $15,000","Less than $15,000",1
Connecticut,35.6,32,39.5,1251,"$50,000 - $74,999","$50,000 - $74,999",5
Arkansas,34.4,29,40.1,624,"$50,000 - $74,999","$50,000 - $74,999",5
Kentucky,26.6,22.7,30.8,1074,"$15,000 - $24,999","$15,000 - $24,999",2
Vermont,37.3,33,41.7,976,"$50,000 - $74,999","$50,000 - $74,999",5
Georgia,34,29.7,38.5,718,"$25,000 - $34,999","$25,000 - $34,999",3
Pennsylvania,34.3,29.9,39,722,"$15,000 - $24,999","$15,000 - $24,999",2
Tennessee,34.9,29.9,40.3,593,"$35,000 - $49,999","$35,000 - $49,999",4
Oregon,35,30.6,39.6,731,"$15,000 - $24,999","$15,000 - $24,999",2
Utah,31.5,28.3,34.9,1180,"$25,000 - $34,999","$25,000 - $34,999",3
Georgia,32.1,27.4,37.2,693,"$15,000 - $24,999","$15,000 - $24,999",2
New Mexico,31,26.7,35.7,795,"$50,000 - $74,999","$50,000 - $74,999",5
Washington,28.3,24,33,734,"Less than $15,000","Less than $15,000",1
Vermont,30.5,24.2,37.6,410,"Less than $15,000","Less than $15,000",1
Ohio,37.3,33.6,41,1480,"$35,000 - $49,999","$35,000 - $49,999",4
Wisconsin,35.1,27.1,44,297,"Less than $15,000","Less than $15,000",1
Oklahoma,31,26.6,35.8,724,"$15,000 - $24,999","$15,000 - $24,999",2
Arkansas,32.1,26.4,38.4,526,"$25,000 - $34,999","$25,000 - $34,999",3
Texas,31.6,26.9,36.8,1300,"$50,000 - $74,999","$50,000 - $74,999",5
New Jersey,37.2,26.3,49.5,250,"$35,000 - $49,999","$35,000 - $49,999",4
Nevada,40,33.4,47.1,432,"$50,000 - $74,999","$50,000 - $74,999",5
Ohio,26.2,22,31,1041,"Less than $15,000","Less than $15,000",1
Kentucky,25.8,21.4,30.7,908,"Less than $15,000","Less than $15,000",1
Wisconsin,36.7,31.8,42,605,"$35,000 - $49,999","$35,000 - $49,999",4
Utah,34.5,31.7,37.5,1637,"$50,000 - $74,999","$50,000 - $74,999",5
Pennsylvania,34.7,29.4,40.3,466,"$25,000 - $34,999","$25,000 - $34,999",3
New Hampshire,33.6,26.7,41.3,403,"$25,000 - $34,999","$25,000 - $34,999",3
Kentucky,36,32.6,39.5,1810,"$75,000 or greater","$75,000 or greater",6
Arizona,34.3,29.2,39.8,892,"$35,000 - $49,999","$35,000 - $49,999",4
Louisiana,36.4,33.2,39.7,1320,"$75,000 or greater","$75,000 or greater",6
New York,32.5,29.3,36,2796,"$25,000 - $34,999","$25,000 - $34,999",3
Hawaii,38.6,34.1,43.2,868,"$35,000 - $49,999","$35,000 - $49,999",4
Kansas,21.5,17.9,25.5,644,"Less than $15,000","Less than $15,000",1
Washington,34.8,31.8,37.9,1767,"$50,000 - $74,999","$50,000 - $74,999",5
Michigan,33.7,30.3,37.2,1169,"$35,000 - $49,999","$35,000 - $49,999",4
Mississippi,38.1,33.2,43.1,637,"$35,000 - $49,999","$35,000 - $49,999",4
Illinois,36.6,31.2,42.3,428,"$25,000 - $34,999","$25,000 - $34,999",3
Oklahoma,36.5,33.1,40,1145,"$75,000 or greater","$75,000 or greater",6
Delaware,32.7,27.8,38,621,"$50,000 - $74,999","$50,000 - $74,999",5
Connecticut,35.6,31.3,40.2,866,"$35,000 - $49,999","$35,000 - $49,999",4
South Dakota,39.8,34,45.9,966,"$35,000 - $49,999","$35,000 - $49,999",4
Illinois,38.2,35.5,41,1735,"$75,000 or greater","$75,000 or greater",6
Rhode Island,29.9,24.3,36.1,500,"$35,000 - $49,999","$35,000 - $49,999",4
Colorado,37.4,33.7,41.2,976,"$35,000 - $49,999","$35,000 - $49,999",4
Iowa,36.1,32.1,40.3,696,"$25,000 - $34,999","$25,000 - $34,999",3
Alabama,26.6,22.3,31.4,628,"Less than $15,000","Less than $15,000",1
Massachusetts,37.5,32.4,42.8,586,"$35,000 - $49,999","$35,000 - $49,999",4
Vermont,31.4,26.8,36.3,724,"$15,000 - $24,999","$15,000 - $24,999",2
Virginia,33.9,29.8,38.2,1002,"$35,000 - $49,999","$35,000 - $49,999",4
South Carolina,39.8,36.1,43.5,1372,"$50,000 - $74,999","$50,000 - $74,999",5
Louisiana,32.9,28.4,37.7,734,"$15,000 - $24,999","$15,000 - $24,999",2
Indiana,32.8,29.1,36.7,967,"$50,000 - $74,999","$50,000 - $74,999",5
California,38.9,34.9,43.1,1073,"$35,000 - $49,999","$35,000 - $49,999",4
Alaska,38.7,34.3,43.2,911,"$75,000 or greater","$75,000 or greater",6
South Carolina,35,31.3,38.9,1258,"$35,000 - $49,999","$35,000 - $49,999",4
Nebraska,33.3,30.3,36.4,2070,"$35,000 - $49,999","$35,000 - $49,999",4
West Virginia,37.1,32.3,42.2,619,"$25,000 - $34,999","$25,000 - $34,999",3
Idaho,35.8,31.8,40.1,909,"$75,000 or greater","$75,000 or greater",6
North Carolina,34.8,30.1,39.7,600,"$50,000 - $74,999","$50,000 - $74,999",5
Florida,34.4,30.5,38.6,2422,"$15,000 - $24,999","$15,000 - $24,999",2
Washington,25.1,21.1,29.5,779,"Less than $15,000","Less than $15,000",1
Maryland,27.3,22.5,32.7,804,"Less than $15,000","Less than $15,000",1
Oklahoma,32.7,27.5,38.2,498,"$25,000 - $34,999","$25,000 - $34,999",3
Delaware,37.9,31.9,44.2,539,"$35,000 - $49,999","$35,000 - $49,999",4
California,36.2,32.6,40,1294,"$50,000 - $74,999","$50,000 - $74,999",5
Virginia,31.7,28.1,35.5,1138,"$15,000 - $24,999","$15,000 - $24,999",2
Washington,34,30.6,37.7,1293,"$15,000 - $24,999","$15,000 - $24,999",2
Iowa,32.5,29.5,35.7,1125,"$35,000 - $49,999","$35,000 - $49,999",4
Virgin Islands,NA,NA,NA,NA,"$15,000 - $24,999","$15,000 - $24,999",2
Wyoming,37.9,34.6,41.3,1190,"$75,000 or greater","$75,000 or greater",6
Montana,34.8,30,40,641,"$35,000 - $49,999","$35,000 - $49,999",4
Tennessee,33.3,28.3,38.7,608,"$50,000 - $74,999","$50,000 - $74,999",5
Minnesota,25.3,21.6,29.3,755,"Less than $15,000","Less than $15,000",1
Rhode Island,33.4,26.9,40.5,394,"Less than $15,000","Less than $15,000",1
New Mexico,33.6,29.8,37.5,1160,"$15,000 - $24,999","$15,000 - $24,999",2
Massachusetts,37.8,31.6,44.3,421,"$25,000 - $34,999","$25,000 - $34,999",3
Missouri,30.6,26.1,35.4,711,"$35,000 - $49,999","$35,000 - $49,999",4
New Hampshire,29.3,24.3,34.9,604,"$15,000 - $24,999","$15,000 - $24,999",2
Hawaii,31.9,27.9,36.2,1022,"$15,000 - $24,999","$15,000 - $24,999",2
Ohio,36.9,33.6,40.4,1638,"$50,000 - $74,999","$50,000 - $74,999",5
Vermont,34.6,30,39.5,762,"$35,000 - $49,999","$35,000 - $49,999",4
Colorado,37.4,35.4,39.4,3070,"$75,000 or greater","$75,000 or greater",6
Oregon,35.9,32,40.1,766,"$50,000 - $74,999","$50,000 - $74,999",5
North Dakota,33.6,28.6,39.1,669,"$35,000 - $49,999","$35,000 - $49,999",4
New Jersey,39.3,31.1,48.2,314,"$15,000 - $24,999","$15,000 - $24,999",2
New Mexico,38.8,35.4,42.3,1491,"$75,000 or greater","$75,000 or greater",6
Wyoming,33.5,28.6,38.7,590,"$15,000 - $24,999","$15,000 - $24,999",2
Arkansas,33.5,28.2,39.2,636,"$35,000 - $49,999","$35,000 - $49,999",4
Utah,34.2,30.7,37.8,1127,"$35,000 - $49,999","$35,000 - $49,999",4
Kansas,35.3,32.3,38.3,1529,"$50,000 - $74,999","$50,000 - $74,999",5
Kentucky,29.6,24.1,35.6,756,"$25,000 - $34,999","$25,000 - $34,999",3
Nevada,41.4,34,49.2,377,"$15,000 - $24,999","$15,000 - $24,999",2
Alabama,29.2,24.5,34.4,556,"$25,000 - $34,999","$25,000 - $34,999",3
Arizona,39,33.2,45.2,721,"$25,000 - $34,999","$25,000 - $34,999",3
West Virginia,27.3,23.6,31.2,794,"$15,000 - $24,999","$15,000 - $24,999",2
Maine,32.8,28.2,37.7,992,"$25,000 - $34,999","$25,000 - $34,999",3
Louisiana,33.9,28.9,39.3,579,"$50,000 - $74,999","$50,000 - $74,999",5
Minnesota,37.4,35.1,39.7,2448,"$50,000 - $74,999","$50,000 - $74,999",5
Tennessee,26.8,22.2,32.1,533,"Less than $15,000","Less than $15,000",1
Wisconsin,36.5,30.6,42.8,484,"$25,000 - $34,999","$25,000 - $34,999",3
Maine,39.8,36.9,42.9,2396,"$75,000 or greater","$75,000 or greater",6
Mississippi,37.3,33.4,41.3,955,"$75,000 or greater","$75,000 or greater",6
Utah,26.1,21.1,31.8,461,"Less than $15,000","Less than $15,000",1
Illinois,29.5,25.6,33.7,693,"$15,000 - $24,999","$15,000 - $24,999",2
Mississippi,33.8,28.8,39.1,573,"$25,000 - $34,999","$25,000 - $34,999",3
Oregon,27.1,21.9,33,409,"Less than $15,000","Less than $15,000",1
Georgia,32.7,29.5,36.1,1228,"$15,000 - $24,999","$15,000 - $24,999",2
Pennsylvania,36.4,33.2,39.7,1355,"$35,000 - $49,999","$35,000 - $49,999",4
Indiana,36.3,32,40.7,855,"$35,000 - $49,999","$35,000 - $49,999",4
Texas,36.2,29.4,43.5,840,"$25,000 - $34,999","$25,000 - $34,999",3
Pennsylvania,37,34.3,39.7,1940,"$75,000 or greater","$75,000 or greater",6
Michigan,34.9,30.8,39.2,801,"$25,000 - $34,999","$25,000 - $34,999",3
Nebraska,32.1,27.7,36.8,1031,"Less than $15,000","Less than $15,000",1
New Jersey,40.7,29.2,53.2,187,"$25,000 - $34,999","$25,000 - $34,999",3
Nevada,38.5,33.7,43.5,865,"$75,000 or greater","$75,000 or greater",6
Louisiana,28.4,23.1,34.4,554,"Less than $15,000","Less than $15,000",1
South Dakota,38.3,31.3,45.7,662,"$25,000 - $34,999","$25,000 - $34,999",3
Utah,32.6,28.4,37.2,722,"$25,000 - $34,999","$25,000 - $34,999",3
Kansas,38.7,35.4,42,1336,"$35,000 - $49,999","$35,000 - $49,999",4
Alabama,38.8,35.6,42.1,1353,"$75,000 or greater","$75,000 or greater",6
Colorado,35.2,30.8,39.8,633,"$25,000 - $34,999","$25,000 - $34,999",3
Idaho,32,26.8,37.6,500,"$15,000 - $24,999","$15,000 - $24,999",2
Virginia,28.2,23,33.9,607,"Less than $15,000","Less than $15,000",1
California,32.2,28.9,35.6,1429,"Less than $15,000","Less than $15,000",1
